date,raw_date,home_team,away_team,home_goals,away_goals,home_xg,away_xg,understat_match_id,match_url,is_result
2025-05-19,"Monday, May 19, 2025",Brighton,Liverpool,3,2,2.18,3.06,26965,https://understat.com/match/26965,true
2025-05-20,"Tuesday, May 20, 2025",Crystal Palace,Wolverhampton Wanderers,4,2,1.68,1.43,26967,https://understat.com/match/26967,true
2025-05-20,"Tuesday, May 20, 2025",Manchester City,Bournemouth,3,1,1.60,0.96,26970,https://understat.com/match/26970,true
2025-05-25,"Sunday, May 25, 2025",Nottingham Forest,Chelsea,0,1,1.58,1.31,26972,https://understat.com/match/26972,true
2025-05-25,"Sunday, May 25, 2025",Newcastle United,Everton,0,1,1.16,1.07,26973,https://understat.com/match/26973,true
2025-05-25,"Sunday, May 25, 2025",Manchester United,Aston Villa,2,0,2.96,0.34,26974,https://understat.com/match/26974,true
2025-05-25,"Sunday, May 25, 2025",Liverpool,Crystal Palace,1,1,1.92,1.41,26975,https://understat.com/match/26975,true
2025-05-25,"Sunday, May 25, 2025",Tottenham,Brighton,1,4,1.85,3.12,26976,https://understat.com/match/26976,true
2025-05-25,"Sunday, May 25, 2025",Southampton,Arsenal,1,2,0.60,2.41,26977,https://understat.com/match/26977,true
2025-05-25,"Sunday, May 25, 2025",Wolverhampton Wanderers,Brentford,1,1,1.11,1.97,26978,https://understat.com/match/26978,true
2025-05-25,"Sunday, May 25, 2025",Bournemouth,Leicester,2,0,2.72,0.16,26979,https://understat.com/match/26979,true
2025-05-25,"Sunday, May 25, 2025",Ipswich,West Ham,1,3,0.89,0.97,26980,https://understat.com/match/26980,true
2025-05-25,"Sunday, May 25, 2025",Fulham,Manchester City,0,2,2.22,2.46,26981,https://understat.com/match/26981,true
