strategy_name,selected_rows,total_rows,coverage,abstention_rate,accuracy,f1_macro,f1_weighted,team_a_win_rows,draw_rows,team_b_win_rows,draw_accuracy,wc_rows,wc_accuracy,wcq_rows,wcq_accuracy
all_predictions,1947,1947,1.0,0.0,0.602,0.5599,0.6044,914,429,604,0.3333,128,0.4375,1819,0.6135
abs_elo_gap_50_plus,1582,1947,0.8125,0.1875,0.6574,0.588,0.6493,757,327,498,0.2661,86,0.4884,1496,0.6671
abs_elo_gap_100_plus,1217,1947,0.6251,0.3749,0.7108,0.5964,0.6834,593,227,397,0.163,55,0.5455,1162,0.7186
abs_elo_gap_150_plus,949,1947,0.4874,0.5126,0.7524,0.5849,0.7029,462,163,324,0.0675,32,0.5938,917,0.7579
abs_elo_gap_200_plus,691,1947,0.3549,0.6451,0.7873,0.5845,0.7279,341,110,240,0.0273,14,0.5,677,0.7932
abs_elo_gap_300_plus,311,1947,0.1597,0.8403,0.8585,0.6048,0.8091,151,34,126,0.0,3,0.0,308,0.8669
abs_elo_gap_400_plus,127,1947,0.0652,0.9348,0.9291,0.6346,0.9066,58,6,63,0.0,0,,127,0.9291
abs_elo_gap_100_plus_no_predicted_draw,1116,1947,0.5732,0.4268,0.7419,0.5376,0.6747,558,190,368,0.0,43,0.5814,1073,0.7484
abs_elo_gap_150_plus_no_predicted_draw,923,1947,0.4741,0.5259,0.7616,0.551,0.6949,454,152,317,0.0,28,0.6071,895,0.7665
abs_elo_gap_200_plus_no_predicted_draw,686,1947,0.3523,0.6477,0.7886,0.5681,0.7235,341,107,238,0.0,14,0.5,672,0.7946
wc_only_all_predictions,128,1947,0.0657,0.9343,0.4375,0.429,0.4467,53,28,47,0.4286,128,0.4375,0,
wcq_only_all_predictions,1819,1947,0.9343,0.0657,0.6135,0.5678,0.614,861,401,557,0.3267,0,,1819,0.6135
wc_abs_elo_gap_100_plus,55,1947,0.0282,0.9718,0.5455,0.5227,0.5472,25,12,18,0.4167,55,0.5455,0,
wcq_abs_elo_gap_100_plus,1162,1947,0.5968,0.4032,0.7186,0.5973,0.6885,568,215,379,0.1488,0,,1162,0.7186
neutral_abs_elo_gap_100_plus,226,1947,0.1161,0.8839,0.7257,0.5932,0.688,83,40,103,0.125,52,0.5385,174,0.7816
non_neutral_abs_elo_gap_100_plus,991,1947,0.509,0.491,0.7074,0.594,0.6823,510,187,294,0.1711,3,0.6667,988,0.7075
