target,scope,model_name,train_rows,test_rows,train_positive_rate,test_positive_rate,accuracy,f1,precision,recall
target_over_1_5,history_any,dummy_most_frequent,156,68,0.7628,0.6912,0.6912,0.8174,0.6912,1.0
target_over_1_5,history_any,logistic_regression_balanced,156,68,0.7628,0.6912,0.4412,0.5778,0.6047,0.5532
target_over_1_5,history_any,random_forest_balanced,156,68,0.7628,0.6912,0.6176,0.7636,0.6667,0.8936
target_over_2_5,history_any,dummy_most_frequent,156,68,0.5064,0.3971,0.3971,0.5684,0.3971,1.0
target_over_2_5,history_any,logistic_regression_balanced,156,68,0.5064,0.3971,0.3382,0.4,0.3125,0.5556
target_over_2_5,history_any,random_forest_balanced,156,68,0.5064,0.3971,0.4412,0.4571,0.3721,0.5926
target_btts,history_any,dummy_most_frequent,156,68,0.5064,0.4853,0.4853,0.6535,0.4853,1.0
target_btts,history_any,logistic_regression_balanced,156,68,0.5064,0.4853,0.3971,0.4533,0.4048,0.5152
target_btts,history_any,random_forest_balanced,156,68,0.5064,0.4853,0.5441,0.5507,0.5278,0.5758
target_over_1_5,full_last_5,dummy_most_frequent,62,27,0.7581,0.7037,0.7037,0.8261,0.7037,1.0
target_over_1_5,full_last_5,logistic_regression_balanced,62,27,0.7581,0.7037,0.4444,0.6154,0.6,0.6316
target_over_1_5,full_last_5,random_forest_balanced,62,27,0.7581,0.7037,0.5556,0.7143,0.6522,0.7895
target_over_2_5,full_last_5,dummy_most_frequent,62,27,0.5161,0.4074,0.4074,0.5789,0.4074,1.0
target_over_2_5,full_last_5,logistic_regression_balanced,62,27,0.5161,0.4074,0.4074,0.3846,0.3333,0.4545
target_over_2_5,full_last_5,random_forest_balanced,62,27,0.5161,0.4074,0.3704,0.32,0.2857,0.3636
target_btts,full_last_5,dummy_most_frequent,62,27,0.5806,0.4815,0.4815,0.65,0.4815,1.0
target_btts,full_last_5,logistic_regression_balanced,62,27,0.5806,0.4815,0.5185,0.6061,0.5,0.7692
target_btts,full_last_5,random_forest_balanced,62,27,0.5806,0.4815,0.4444,0.5455,0.45,0.6923
